Store Name,Address,City,State,Zipcode,Phone,URL,Country,Region
Anchorage,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,(907) 349-2335,https://www.costco.com/warehouse-locations/anchorage-ak-10.html,US,NW
Anchorage Business Center,1074 N MULDOON RD,ANCHORAGE,AK,99504-2073,(907) 416-9780,https://www.costco.com/warehouse-locations/anchorage-business-center-anchorage-ak-1661.html,US,NW
Fairbanks,48 COLLEGE RD,FAIRBANKS,AK,99701-1706,(907) 205-3607,https://www.costco.com/warehouse-locations/fairbanks-ak-1342.html,US,NW
Juneau,5225 COMMERCIAL BLVD,JUNEAU,AK,99801-7210,(907) 780-6740,https://www.costco.com/warehouse-locations/juneau-ak-107.html,US,NW
NE Anchorage,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,(907) 269-9510,https://www.costco.com/warehouse-locations/ne-anchorage-anchorage-ak-63.html,US,NW
Hoover,3650 GALLERIA CIR,HOOVER,AL,35244-2346,(205) 909-1039,https://www.costco.com/warehouse-locations/hoover-al-362.html,US,SE
Huntsville,1205 N. MEMORIAL PKWY,HUNTSVILLE,AL,35801-5930,(256) 519-2220,https://www.costco.com/warehouse-locations/huntsville-al-356.html,US,SE
Mobile,1450 TINGLE CIRCLE WEST,MOBILE,AL,36606-2632,(251) 308-7030,https://www.costco.com/warehouse-locations/mobile-al-1192.html,US,SE
Montgomery,8251 EASTCHASE PKWY,MONTGOMERY,AL,36117-7033,(334) 270-7452,https://www.costco.com/warehouse-locations/montgomery-al-1009.html,US,SE
Little Rock,16901 CHENAL PARKWAY,LITTLE ROCK,AR,72223,(501) 817-8603,https://www.costco.com/warehouse-locations/little-rock-ar-1442.html,US,TE
Avondale,10000 W MCDOWELL RD,AVONDALE,AZ,85392-4803,(623) 907-5663,https://www.costco.com/warehouse-locations/avondale-az-691.html,US,SW
Buckeye,1111 N. VERRADO WAY,BUCKEYE,AZ,85326,(480) 618-4000,https://www.costco.com/warehouse-locations/buckeye-az-1653.html,US,SW
Cave Creek,2450 E BEARDSLEY RD,PHOENIX,AZ,85050-1300,(480) 375-2850,https://www.costco.com/warehouse-locations/cave-creek-phoenix-az-738.html,US,SW
Chandler,595 S GALLERIA WAY,CHANDLER,AZ,85226-4932,(480) 375-2051,https://www.costco.com/warehouse-locations/chandler-az-736.html,US,SW
Gilbert,1415 N ARIZONA AVE,GILBERT,AZ,85233-1616,(480) 293-0053,https://www.costco.com/warehouse-locations/gilbert-az-481.html,US,SW
Glendale,17550 N 79TH AVE,GLENDALE,AZ,85308-8711,(623) 776-4003,https://www.costco.com/warehouse-locations/glendale-az-674.html,US,SW
Mesa,1444 S SOSSAMAN RD,MESA,AZ,85209-3400,(480) 333-6552,https://www.costco.com/warehouse-locations/mesa-az-1028.html,US,SW
N Phoenix,19001 N 27TH AVE,PHOENIX,AZ,85027-5036,(623) 293-4400,https://www.costco.com/warehouse-locations/n-phoenix-phoenix-az-490.html,US,SW
NW Tucson,3901 W COSTCO DR,TUCSON,AZ,85741-2864,(520) 797-1980,https://www.costco.com/warehouse-locations/nw-tucson-tucson-az-431.html,US,SW
Paradise Valley,4570 E CACTUS RD,PHOENIX,AZ,85032-7702,(480) 308-7044,https://www.costco.com/warehouse-locations/paradise-valley-phoenix-az-1058.html,US,SW
Phoenix Business Center,3801 N 33RD AVE,PHOENIX,AZ,85017-4508,(480) 293-2123,https://www.costco.com/warehouse-locations/phoenix-business-center-phoenix-az-827.html,US,SW
Prescott,3911 E STATE ROUTE 69,PRESCOTT,AZ,86301-6717,(928) 541-2203,https://www.costco.com/warehouse-locations/prescott-az-466.html,US,SW
Queen Creek,20260 S ELLSWORTH RD,QUEEN CREEK,AZ,85142,(480) 847-1000,https://www.costco.com/warehouse-locations/queen-creek-az-1620.html,US,SW
Scottsdale,15255 N HAYDEN RD,SCOTTSDALE,AZ,85260-2551,(480) 948-5040,https://www.costco.com/warehouse-locations/scottsdale-az-427.html,US,SW
SE Gilbert,2887 S MARKET ST,GILBERT,AZ,85295-1303,(480) 366-3950,https://www.costco.com/warehouse-locations/se-gilbert-gilbert-az-644.html,US,SW
Surprise,16385 W. WADDELL RD.,SURPRISE,AZ,85388,(602) 325-1799,https://www.costco.com/warehouse-locations/surprise-az-1375.html,US,SW
SW Tucson,1650 E TUCSON MARKETPLACE BLVD,TUCSON,AZ,85713-6561,(520) 791-7340,https://www.costco.com/warehouse-locations/sw-tucson-tucson-az-1079.html,US,SW
Tempe,1445 W ELLIOT RD,TEMPE,AZ,85284-1103,(480) 496-6651,https://www.costco.com/warehouse-locations/tempe-az-436.html,US,SW
Thomas Road,4502 E OAK ST,PHOENIX,AZ,85008-2411,(602) 808-0101,https://www.costco.com/warehouse-locations/thomas-road-phoenix-az-465.html,US,SW
Tucson,6255 EAST GRANT ROAD,TUCSON,AZ,85712-5804,(520) 886-6377,https://www.costco.com/warehouse-locations/tucson-az-407.html,US,SW
Alhambra,2207 W COMMONWEALTH AVE,ALHAMBRA,CA,91803-1302,(626) 289-7164,https://www.costco.com/warehouse-locations/alhambra-ca-428.html,US,LA
Almaden,5301 ALMADEN EXPY,SAN JOSE,CA,95118-3603,(408) 723-0964,https://www.costco.com/warehouse-locations/almaden-san-jose-ca-470.html,US,BA
Antioch,2201 VERNE ROBERTS CIR,ANTIOCH,CA,94509-7911,(925) 757-7130,https://www.costco.com/warehouse-locations/antioch-ca-1002.html,US,BA
Azusa,1220 W FOOTHILL BLVD,AZUSA,CA,91702-2819,(626) 812-7911,https://www.costco.com/warehouse-locations/azusa-ca-412.html,US,CC
Bakersfield,3800 ROSEDALE HWY,BAKERSFIELD,CA,93308-6235,(661) 852-2643,https://www.costco.com/warehouse-locations/bakersfield-ca-688.html,US,CC
Burbank Business Center,11428 SHERMAN WAY,NORTH HOLLYWOOD,CA,91605-5807,(818) 423-7082,https://www.costco.com/warehouse-locations/burbank-business-center-north-hollywood-ca-653.html,US,LA
Burbank,1051 W BURBANK BLVD,BURBANK,CA,91506-1421,(818) 557-3783,https://www.costco.com/warehouse-locations/burbank-ca-677.html,US,LA
Cal Expo (Sacramento),1600 EXPO PKWY,SACRAMENTO,CA,95815-4228,(916) 830-1078,https://www.costco.com/warehouse-locations/cal-expo-sacramento--sacramento-ca-471.html,US,CC
Carlsbad,951 PALOMAR AIRPORT RD,CARLSBAD,CA,92011-1110,(760) 929-0963,https://www.costco.com/warehouse-locations/carlsbad-ca-462.html,US,SD
Carmel Mountain,12350 CARMEL MOUNTAIN RD,SAN DIEGO,CA,92128-4616,(858) 675-0379,https://www.costco.com/warehouse-locations/carmel-mountain-san-diego-ca-452.html,US,SD
Chico,2100 DR MLK JR PKWY,CHICO,CA,95928-4422,(530) 332-1742,https://www.costco.com/warehouse-locations/chico-ca-1011.html,US,CC
Chino Hills,13111 PEYTON DR,CHINO HILLS,CA,91709-6002,(909) 464-2900,https://www.costco.com/warehouse-locations/chino-hills-ca-473.html,US,CC
Chula Vista,1130 BROADWAY,CHULA VISTA,CA,91911-2707,(619) 205-1501,https://www.costco.com/warehouse-locations/chula-vista-ca-781.html,US,SD
Citrus Heights,7000 AUBURN BLVD,CITRUS HEIGHTS,CA,95621-4342,(916) 560-4003,https://www.costco.com/warehouse-locations/citrus-heights-ca-771.html,US,CC
City Of Industry,17550 CASTLETON ST,CITY OF INDUSTRY,CA,91748-1701,(626) 839-3053,https://www.costco.com/warehouse-locations/city-of-industry-ca-679.html,US,CC
Clovis,2270 CLOVIS AVE,CLOVIS,CA,93612,(559) 291-3377,https://www.costco.com/warehouse-locations/clovis-ca-1360.html,US,CC
Commerce Business Center,6333 TELEGRAPH RD,COMMERCE,CA,90040-2513,(323) 767-2640,https://www.costco.com/warehouse-locations/commerce-business-center-commerce-ca-569.html,US,CC
Concord,2400 MONUMENT BLVD,CONCORD,CA,94520-3105,(925) 566-4003,https://www.costco.com/warehouse-locations/concord-ca-663.html,US,BA
Corona,480 N MCKINLEY ST,CORONA,CA,92879-1291,(951) 279-1190,https://www.costco.com/warehouse-locations/corona-ca-432.html,US,CC
Culver City,13463 WASHINGTON BLVD,MARINA DEL REY,CA,90292-5658,(310) 754-2003,https://www.costco.com/warehouse-locations/culver-city-marina-del-rey-ca-479.html,US,LA
Cypress CA,5401 KATELLA AVE,CYPRESS,CA,90720-2809,(562) 668-5150,https://www.costco.com/warehouse-locations/cypress-ca-cypress-ca-748.html,US,LA
Danville,3150 FOSTORIA WAY,DANVILLE,CA,94526-5553,(925) 277-0407,https://www.costco.com/warehouse-locations/danville-ca-21.html,US,BA
Eastvale,5030 HAMNER AVE,EASTVALE,CA,91752-1009,(951) 749-7182,https://www.costco.com/warehouse-locations/eastvale-ca-1317.html,US,CC
El Camino,1600 EL CAMINO REAL,SOUTH SAN FRANCISCO,CA,94080-1206,(650) 757-3003,https://www.costco.com/warehouse-locations/el-camino-south-san-francisco-ca-475.html,US,BA
El Centro,2030 N IMPERIAL AVE,EL CENTRO,CA,92243-1323,(760) 353-2380,https://www.costco.com/warehouse-locations/el-centro-ca-121.html,US,CC
Elk Grove,7400 ELK GROVE BLVD,ELK GROVE,CA,95757-6299,(916) 465-6050,https://www.costco.com/warehouse-locations/elk-grove-ca-1274.html,US,CC
Eureka,1006 W WABASH AVE,EUREKA,CA,95501-2121,(707) 441-8750,https://www.costco.com/warehouse-locations/eureka-ca-125.html,US,CC
Fairfield,5101 BUSINESS CENTER DR,FAIRFIELD,CA,94534-1624,(707) 864-3816,https://www.costco.com/warehouse-locations/fairfield-ca-453.html,US,BA
Folsom,1800 CAVITT DR,FOLSOM,CA,95630-6235,(916) 850-1000,https://www.costco.com/warehouse-locations/folsom-ca-765.html,US,CC
Fontana,16505 SIERRA LAKES PKWY,FONTANA,CA,92336-1256,(909) 770-5639,https://www.costco.com/warehouse-locations/fontana-ca-627.html,US,CC
Foster City,1001 METRO CENTER BLVD,FOSTER CITY,CA,94404-2177,(650) 286-0739,https://www.costco.com/warehouse-locations/foster-city-ca-147.html,US,BA
Fountain Valley,17900 NEWHOPE ST,FOUNTAIN VALLEY,CA,92708-5422,(714) 338-2183,https://www.costco.com/warehouse-locations/fountain-valley-ca-411.html,US,LA
Fremont,43621 PACIFIC COMMONS BLVD,FREMONT,CA,94538-3809,(510) 897-1092,https://www.costco.com/warehouse-locations/fremont-ca-778.html,US,BA
Fresno,4500 W SHAW AVE,FRESNO,CA,93722-6200,(559) 271-6511,https://www.costco.com/warehouse-locations/fresno-ca-31.html,US,CC
Fullerton,900 S HARBOR BLVD,FULLERTON,CA,92832-3025,(714) 738-7521,https://www.costco.com/warehouse-locations/fullerton-ca-418.html,US,LA
Garden Grove,11000 GARDEN GROVE BLVD,GARDEN GROVE,CA,92843-1206,(714) 638-6308,https://www.costco.com/warehouse-locations/garden-grove-ca-126.html,US,LA
Gilroy,7251 CAMINO ARROYO,GILROY,CA,95020-7340,(408) 848-0700,https://www.costco.com/warehouse-locations/gilroy-ca-760.html,US,CC
Goleta,7095 MARKET PLACE DR,GOLETA,CA,93117-5905,(805) 685-3199,https://www.costco.com/warehouse-locations/goleta-ca-474.html,US,CC
Great Oaks,6898 RALEIGH ROAD,SAN JOSE,CA,95119-1730,(408) 908-7929,https://www.costco.com/warehouse-locations/great-oaks-san-jose-ca-1267.html,US,BA
Hanford,2395 E LACEY BLVD,HANFORD,CA,93230-4740,(559) 670-6008,https://www.costco.com/warehouse-locations/hanford-ca-1244.html,US,CC
Hawthorne Business Center,12530 PRAIRIE AVE,HAWTHORNE,CA,90250-4638,(310) 220-8826,https://www.costco.com/warehouse-locations/hawthorne-business-center-hawthorne-ca-564.html,US,LA
Hawthorne,14501 HINDRY AVENUE,HAWTHORNE,CA,90250-6748,(310) 727-0403,https://www.costco.com/warehouse-locations/hawthorne-ca-671.html,US,LA
Hayward Business Center,22330 HATHAWAY AVE,HAYWARD,CA,94541-4861,(510) 259-6600,https://www.costco.com/warehouse-locations/hayward-business-center-hayward-ca-823.html,US,BA
Hayward,28505 HESPERIAN BLVD,HAYWARD,CA,94545-5008,(510) 921-3128,https://www.costco.com/warehouse-locations/hayward-ca-1061.html,US,BA
Huntington Beach,7562 CENTER AVE,HUNTINGTON BEACH,CA,92647-3002,(714) 372-7510,https://www.costco.com/warehouse-locations/huntington-beach-ca-1110.html,US,LA
Inglewood,3560 W CENTURY BLVD,INGLEWOOD,CA,90303-1201,(310) 242-2777,https://www.costco.com/warehouse-locations/inglewood-ca-769.html,US,LA
Irvine,115 TECHNOLOGY DR,IRVINE,CA,92618-2408,(949) 453-0435,https://www.costco.com/warehouse-locations/irvine-ca-454.html,US,LA
Laguna Marketplace,27220 HEATHER RIDGE RD,LAGUNA NIGUEL,CA,92677-3418,(949) 389-8703,https://www.costco.com/warehouse-locations/laguna-marketplace-laguna-niguel-ca-690.html,US,CC
Laguna Niguel,27972 CABOT RD,LAGUNA NIGUEL,CA,92677-1211,(949) 364-0217,https://www.costco.com/warehouse-locations/laguna-niguel-ca-28.html,US,CC
La Habra,101 N BEACH BLVD,LA HABRA,CA,90631-4468,(562) 524-0001,https://www.costco.com/warehouse-locations/la-habra-ca-777.html,US,LA
Lake Elsinore,29315 CENTRAL AVE,LAKE ELSINORE,CA,92532-2212,(951) 253-6030,https://www.costco.com/warehouse-locations/lake-elsinore-ca-746.html,US,CC
Lakewood,340 LAKEWOOD CENTER MALL,LAKEWOOD,CA,90712-2409,(562) 295-1508,https://www.costco.com/warehouse-locations/lakewood-ca-1050.html,US,LA
