Store Name,Address,City,State,Zipcode,Phone,URL,"Country","Region"
Anchorage,330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,(907) 349-2335,https://www.costco.com/warehouse-locations/anchorage-ak-10.html,"US","TBD"
Anchorage Business Center,1074 N MULDOON RD,ANCHORAGE,AK,99504-2073,(907) 416-9780,https://www.costco.com/warehouse-locations/anchorage-business-center-anchorage-ak-1661.html,"US","TBD"
Fairbanks,48 COLLEGE RD,FAIRBANKS,AK,99701-1706,(907) 205-3607,https://www.costco.com/warehouse-locations/fairbanks-ak-1342.html,"US","TBD"
Juneau,5225 COMMERCIAL BLVD,JUNEAU,AK,99801-7210,(907) 780-6740,https://www.costco.com/warehouse-locations/juneau-ak-107.html,"US","TBD"
NE Anchorage,4125 DEBARR RD,ANCHORAGE,AK,99508-3115,(907) 269-9510,https://www.costco.com/warehouse-locations/ne-anchorage-anchorage-ak-63.html,"US","TBD"
Hoover,3650 GALLERIA CIR,HOOVER,AL,35244-2346,(205) 909-1039,https://www.costco.com/warehouse-locations/hoover-al-362.html,"US","TBD"
Huntsville,1205 N. MEMORIAL PKWY,HUNTSVILLE,AL,35801-5930,(256) 519-2220,https://www.costco.com/warehouse-locations/huntsville-al-356.html,"US","TBD"
Mobile,1450 TINGLE CIRCLE WEST,MOBILE,AL,36606-2632,(251) 308-7030,https://www.costco.com/warehouse-locations/mobile-al-1192.html,"US","TBD"
Montgomery,8251 EASTCHASE PKWY,MONTGOMERY,AL,36117-7033,(334) 270-7452,https://www.costco.com/warehouse-locations/montgomery-al-1009.html,"US","TBD"
Little Rock,16901 CHENAL PARKWAY,LITTLE ROCK,AR,72223,(501) 817-8603,https://www.costco.com/warehouse-locations/little-rock-ar-1442.html,"US","TBD"
Avondale,10000 W MCDOWELL RD,AVONDALE,AZ,85392-4803,(623) 907-5663,https://www.costco.com/warehouse-locations/avondale-az-691.html,"US","TBD"
Buckeye,1111 N. VERRADO WAY,BUCKEYE,AZ,85326,(480) 618-4000,https://www.costco.com/warehouse-locations/buckeye-az-1653.html,"US","TBD"
Cave Creek,2450 E BEARDSLEY RD,PHOENIX,AZ,85050-1300,(480) 375-2850,https://www.costco.com/warehouse-locations/cave-creek-phoenix-az-738.html,"US","TBD"
Chandler,595 S GALLERIA WAY,CHANDLER,AZ,85226-4932,(480) 375-2051,https://www.costco.com/warehouse-locations/chandler-az-736.html,"US","TBD"
Gilbert,1415 N ARIZONA AVE,GILBERT,AZ,85233-1616,(480) 293-0053,https://www.costco.com/warehouse-locations/gilbert-az-481.html,"US","TBD"
Glendale,17550 N 79TH AVE,GLENDALE,AZ,85308-8711,(623) 776-4003,https://www.costco.com/warehouse-locations/glendale-az-674.html,"US","TBD"
Mesa,1444 S SOSSAMAN RD,MESA,AZ,85209-3400,(480) 333-6552,https://www.costco.com/warehouse-locations/mesa-az-1028.html,"US","TBD"
N Phoenix,19001 N 27TH AVE,PHOENIX,AZ,85027-5036,(623) 293-4400,https://www.costco.com/warehouse-locations/n-phoenix-phoenix-az-490.html,"US","TBD"
NW Tucson,3901 W COSTCO DR,TUCSON,AZ,85741-2864,(520) 797-1980,https://www.costco.com/warehouse-locations/nw-tucson-tucson-az-431.html,"US","TBD"
Paradise Valley,4570 E CACTUS RD,PHOENIX,AZ,85032-7702,(480) 308-7044,https://www.costco.com/warehouse-locations/paradise-valley-phoenix-az-1058.html,"US","TBD"
Phoenix Business Center,3801 N 33RD AVE,PHOENIX,AZ,85017-4508,(480) 293-2123,https://www.costco.com/warehouse-locations/phoenix-business-center-phoenix-az-827.html,"US","TBD"
Prescott,3911 E STATE ROUTE 69,PRESCOTT,AZ,86301-6717,(928) 541-2203,https://www.costco.com/warehouse-locations/prescott-az-466.html,"US","TBD"
Queen Creek,20260 S ELLSWORTH RD,QUEEN CREEK,AZ,85142,(480) 847-1000,https://www.costco.com/warehouse-locations/queen-creek-az-1620.html,"US","TBD"
Scottsdale,15255 N HAYDEN RD,SCOTTSDALE,AZ,85260-2551,(480) 948-5040,https://www.costco.com/warehouse-locations/scottsdale-az-427.html,"US","TBD"
SE Gilbert,2887 S MARKET ST,GILBERT,AZ,85295-1303,(480) 366-3950,https://www.costco.com/warehouse-locations/se-gilbert-gilbert-az-644.html,"US","TBD"
Surprise,16385 W. WADDELL RD.,SURPRISE,AZ,85388,(602) 325-1799,https://www.costco.com/warehouse-locations/surprise-az-1375.html,"US","TBD"
SW Tucson,1650 E TUCSON MARKETPLACE BLVD,TUCSON,AZ,85713-6561,(520) 791-7340,https://www.costco.com/warehouse-locations/sw-tucson-tucson-az-1079.html,"US","TBD"
Tempe,1445 W ELLIOT RD,TEMPE,AZ,85284-1103,(480) 496-6651,https://www.costco.com/warehouse-locations/tempe-az-436.html,"US","TBD"
Thomas Road,4502 E OAK ST,PHOENIX,AZ,85008-2411,(602) 808-0101,https://www.costco.com/warehouse-locations/thomas-road-phoenix-az-465.html,"US","TBD"
Tucson,6255 EAST GRANT ROAD,TUCSON,AZ,85712-5804,(520) 886-6377,https://www.costco.com/warehouse-locations/tucson-az-407.html,"US","TBD"
Alhambra,2207 W COMMONWEALTH AVE,ALHAMBRA,CA,91803-1302,(626) 289-7164,https://www.costco.com/warehouse-locations/alhambra-ca-428.html,"US","TBD"
Almaden,5301 ALMADEN EXPY,SAN JOSE,CA,95118-3603,(408) 723-0964,https://www.costco.com/warehouse-locations/almaden-san-jose-ca-470.html,"US","TBD"
Antioch,2201 VERNE ROBERTS CIR,ANTIOCH,CA,94509-7911,(925) 757-7130,https://www.costco.com/warehouse-locations/antioch-ca-1002.html,"US","TBD"
Azusa,1220 W FOOTHILL BLVD,AZUSA,CA,91702-2819,(626) 812-7911,https://www.costco.com/warehouse-locations/azusa-ca-412.html,"US","TBD"
Bakersfield,3800 ROSEDALE HWY,BAKERSFIELD,CA,93308-6235,(661) 852-2643,https://www.costco.com/warehouse-locations/bakersfield-ca-688.html,"US","TBD"
Burbank Business Center,11428 SHERMAN WAY,NORTH HOLLYWOOD,CA,91605-5807,(818) 423-7082,https://www.costco.com/warehouse-locations/burbank-business-center-north-hollywood-ca-653.html,"US","TBD"
Burbank,1051 W BURBANK BLVD,BURBANK,CA,91506-1421,(818) 557-3783,https://www.costco.com/warehouse-locations/burbank-ca-677.html,"US","TBD"
Cal Expo (Sacramento),1600 EXPO PKWY,SACRAMENTO,CA,95815-4228,(916) 830-1078,https://www.costco.com/warehouse-locations/cal-expo-sacramento--sacramento-ca-471.html,"US","TBD"
Carlsbad,951 PALOMAR AIRPORT RD,CARLSBAD,CA,92011-1110,(760) 929-0963,https://www.costco.com/warehouse-locations/carlsbad-ca-462.html,"US","TBD"
Carmel Mountain,12350 CARMEL MOUNTAIN RD,SAN DIEGO,CA,92128-4616,(858) 675-0379,https://www.costco.com/warehouse-locations/carmel-mountain-san-diego-ca-452.html,"US","TBD"
Chico,2100 DR MLK JR PKWY,CHICO,CA,95928-4422,(530) 332-1742,https://www.costco.com/warehouse-locations/chico-ca-1011.html,"US","TBD"
Chino Hills,13111 PEYTON DR,CHINO HILLS,CA,91709-6002,(909) 464-2900,https://www.costco.com/warehouse-locations/chino-hills-ca-473.html,"US","TBD"
Chula Vista,1130 BROADWAY,CHULA VISTA,CA,91911-2707,(619) 205-1501,https://www.costco.com/warehouse-locations/chula-vista-ca-781.html,"US","TBD"
Citrus Heights,7000 AUBURN BLVD,CITRUS HEIGHTS,CA,95621-4342,(916) 560-4003,https://www.costco.com/warehouse-locations/citrus-heights-ca-771.html,"US","TBD"
City Of Industry,17550 CASTLETON ST,CITY OF INDUSTRY,CA,91748-1701,(626) 839-3053,https://www.costco.com/warehouse-locations/city-of-industry-ca-679.html,"US","TBD"
Clovis,2270 CLOVIS AVE,CLOVIS,CA,93612,(559) 291-3377,https://www.costco.com/warehouse-locations/clovis-ca-1360.html,"US","TBD"
Commerce Business Center,6333 TELEGRAPH RD,COMMERCE,CA,90040-2513,(323) 767-2640,https://www.costco.com/warehouse-locations/commerce-business-center-commerce-ca-569.html,"US","TBD"
Concord,2400 MONUMENT BLVD,CONCORD,CA,94520-3105,(925) 566-4003,https://www.costco.com/warehouse-locations/concord-ca-663.html,"US","TBD"
Corona,480 N MCKINLEY ST,CORONA,CA,92879-1291,(951) 279-1190,https://www.costco.com/warehouse-locations/corona-ca-432.html,"US","TBD"
Culver City,13463 WASHINGTON BLVD,MARINA DEL REY,CA,90292-5658,(310) 754-2003,https://www.costco.com/warehouse-locations/culver-city-marina-del-rey-ca-479.html,"US","TBD"
Cypress CA,5401 KATELLA AVE,CYPRESS,CA,90720-2809,(562) 668-5150,https://www.costco.com/warehouse-locations/cypress-ca-cypress-ca-748.html,"US","TBD"
