Store Name,Address,City,State,Zipcode,Phone,URL,Country,Region
,Country,"Region
Anchorage",330 W DIMOND BLVD,ANCHORAGE,AK,99515-1903,US,
S Winnipeg,2365 MCGILLIVRAY BLVD,WINNIPEG,CA,R3Y 0A1,(204) 487-5100,,CA,WC
W Winnipeg,1315 ST JAMES ST,WINNIPEG,CA,R3H 0K9,(204) 788-4415,,CA,WC
E Winnipeg,1499 REGENT AVE W,WINNIPEG,CA,R2C 4M4,(204) 654-4214,,CA,WC
Regina,2110 ANAQUOD ROAD,REGINA,CA,S4V 3T7,(306) 271-0912,,CA,WC
Windsor,4411 WALKER RD,WINDSOR,CA,N8W 3T6,(519) 972-1899,,CA,EC
N London,693 WONDERLAND RD N,LONDON,CA,N6H 4L1,(519) 474-5301,,CA,EC
Westminster ON,4313 WELLINGTON RD S,LONDON,CA,N6E 2Z8,(519) 680-1027,,CA,EC
Medicine Hat,2350 BOX SPRINGS BLVD NW,MEDICINE HAT,CA,T1C 0C8,(403) 581-5700,,CA,WC
S Saskatoon,225 MARKET DRIVE,SASKATOON,CA,S7V 0L2,(306) 700-2883,,CA,WC
Saskatoon,115 MARQUIS DR W,SASKATOON,CA,S7R 1C7,(306) 933-4262,,CA,WC
Waterloo,930 ERB ST W,WATERLOO,CA,N2J 3Z4,(226) 215-1150,,CA,EC
Kitchener,4438 KING STE,KITCHENER,CA,N2P 2G4,(519) 650-3330,,CA,EC
Guelph,19 ELMIRA RD S,GUELPH,CA,N1K 0B6,(519) 780-5700,,CA,EC
Lethbridge,3200 MAYOR MAGRATH DR S,LETHBRIDGE,CA,T1K 6Y6,(403) 320-8917,,CA,WC
Ancaster,100 LEGEND CRT,ANCASTER,CA,L9K 1J3,(905) 304-0344,,CA,EC
Burlington ON,1225 BRANT ST,BURLINGTON,CA,L7P 1X7,(905) 336-6714,,CA,EC
Sudbury,1465 KINGSWAY,SUDBURY,CA,P3B 0A5,(705) 524-8255,,CA,EC
Stoney Creek,1330 SOUTH SERVICE RD,STONEY CREEK,CA,L8E 5C5,(289) 335-4820,,CA,EC
S Mississauga,3180 LAIRD RD,MISSISSAUGA,CA,L5L 6A5,(905) 828-3340,,CA,EC
Brampton,100 BISCAYNE CRES,BRAMPTON,CA,L6W 4S1,(905) 450-9300,,CA,EC
N Mississauga,5900 RODEO DR,MISSISSAUGA,CA,L5R 3S9,(905) 568-4828,,CA,EC
NW Vaughan,55 NEW HUNTINGTON RD,VAUGHAN,CA,L4H 0S8,(289) 459-0921,,CA,EC
C Mississauga,1570 DUNDAS STE,MISSISSAUGA,CA,L4X 1L4,(905) 566-2400,,CA,EC
Barrie,41 MAPLEVIEW DR E,BARRIE,CA,L4N 9A9,(705) 728-2350,,CA,EC
Etobicoke,50 QUEEN ELIZABETH BLVD,ETOBICOKE,CA,M8Z 1M1,(416) 251-2832,,CA,EC
